10000 29970
0 1627 0.00532764
0 1912 0.00446821
0 4209 0.0112309
0 4330 0.0133482
0 5308 0.0173587
1 80 0.0224336
1 422 0.00687893
1 1443 0.024712
1 2665 0.0243234
1 3223 0.0160953
1 3355 0.0138222
1 6481 0.0149109
1 6697 0.006013
1 7934 0.0131001
1 9256 0.014222
2 841 0.0175392
2 3428 0.00924523
2 4053 0.00755309
2 5812 0.0157321
2 6894 0.0170047
2 6939 0.0161732
2 8437 0.0165271
2 9490 0.0172716
3 1325 0.0190294
3 2428 0.0112046
3 4296 0.00526323
3 4998 0.0128621
3 5601 0.0055221
3 6499 0.00651082
4 1915 0.00114718
4 4437 0.00440618
4 8132 0.00649275
4 9335 0.00596698
5 1295 0.0186493
5 1734 0.0157675
5 1932 0.0126276
5 3637 0.00284214
5 3877 0.0172592
5 4220 0.0182319
5 7528 0.015013
5 8326 0.0127553
5 9955 0.0199266
6 304 0.0286727
6 2420 0.0193996
6 4392 0.00210715
6 6157 0.0141223
6 7501 0.0131153
6 9304 0.0135843
7 774 0.0132527
7 933 0.0084409
7 1831 0.00727466
7 2098 0.0148195
7 4334 0.0105665
7 5242 0.010831
7 8376 0.00879491
8 1638 0.00577971
8 2385 0.00826371
8 3614 0.0138087
8 9960 0.00360921
9 54 0.0147804
9 101 0.00451233
9 127 0.00939581
9 1449 0.0133608
9 4655 0.00414299
9 6472 0.00882562
10 1425 0.00263576
10 4319 0.0107704
10 4926 0.00522085
10 7368 0.0111445
10 8307 0.0082314
11 863 0.00287545
11 1361 0.00684691
11 3843 0.00500214
11 5142 0.00921244
11 5518 0.00428799
12 865 0.0158436
12 1463 0.00576363
12 2606 0.00813295
12 8623 0.00521422
12 9059 0.0124827
12 9763 0.00441033
13 92 0.00729267
13 1788 0.00705981
13 3569 0.00193842
13 4114 0.00606979
13 4467 0.00727663
13 8799 0.00908876
14 1835 0.00524702
14 2293 0.00268761
14 3250 0.0125974
14 6348 0.0108239
14 7871 0.0094767
15 1994 0.0204113
15 3608 0.0196524
15 3893 0.00915645
15 6589 0.0200321
15 7439 0.0186226
15 9055 0.0118574
15 9542 0.0197244
16 267 0.00952647
16 3037 0.0133686
16 4023 0.0163293
16 4854 0.00935872
16 5880 0.0136267
16 7192 0.0020677
16 8851 0.0202506
16 9250 0.0170457
17 118 0.00609578
17 3325 0.0165588
17 5214 0.0162819
17 7146 0.00403362
17 8558 0.00459363
17 9272 0.0130392
18 745 0.0104444
18 3341 0.02025
18 4471 0.00959364
18 4536 0.00953408
18 7041 0.00624701
18 7187 0.00857236
18 9299 0.0191459
19 207 0.0151959
19 621 0.0201584
19 2418 0.0138706
19 4549 0.0156953
19 4727 0.00419701
19 9171 0.00413297
19 9430 0.0199647
20 2356 0.0449296
20 3365 0.00682876
20 4431 0.0300051
20 4647 0.0120086
20 7684 0.0196893
20 9284 0.0104347
21 3534 0.00744095
21 3699 0.0116756
21 6050 0.00858718
21 7608 0.0115073
21 7787 0.00567552
21 8158 0.00835289
21 8747 0.0115775
22 291 0.0050695
22 2006 0.00806655
22 4096 0.0102927
22 4350 0.00484575
22 5724 0.0099104
23 501 0.00771226
23 1341 0.0147247
23 6089 0.0136658
23 6370 0.0214491
23 7515 0.00794865
23 7741 0.00829131
23 8050 0.0153104
23 9342 0.018146
24 277 0.0102282
24 1277 0.0144675
24 1445 0.0107183
24 2195 0.00985235
24 2573 0.0121125
24 3398 0.0178656
24 9552 0.00889602
24 9888 0.010159
25 4631 0.0150402
25 6760 0.0119486
25 6947 0.00755951
25 7625 0.00917578
25 9288 0.0071415
26 2064 0.0108425
26 3140 0.0115809
26 4089 0.0106843
26 5133 0.00778744
26 6212 0.0133089
26 8195 0.0133576
27 60 0.0241905
27 4997 0.00688741
27 8043 0.00741844
27 8066 0.0109816
27 8083 0.020947
27 8651 0.011371
28 1444 0.00560924
28 1940 0.0164263
28 5126 0.0181648
28 6520 0.00830598
28 8641 0.0158528
28 9640 0.0050391
29 914 0.0141728
29 1848 0.0119894
29 2899 0.0055455
29 6896 0.012632
29 6982 0.00380429
29 7637 0.0080585
30 1316 0.00978631
30 1688 0.0164784
30 4533 0.0157441
30 6149 0.0138374
30 6628 0.00617173
30 6796 0.00795481
30 7356 0.0109259
31 2484 0.017502
31 2885 0.0135921
31 4237 0.00639478
31 7128 0.0155025
31 8597 0.00696092
32 408 0.0103572
32 3918 0.0119987
32 5435 0.012096
32 5499 0.00702219
32 8884 0.0122179
32 9574 0.00131691
33 3833 0.0187514
33 5588 0.0122506
33 8157 0.0133871
33 8726 0.0173902
33 9433 0.00879752
34 1390 0.00875347
34 3595 0.00787439
34 4481 0.00926644
34 6793 0.0141307
34 9444 0.00691222
34 9907 0.0160998
35 1156 0.0247603
35 4776 0.0193361
35 7447 0.0025484
35 7543 0.00945332
35 7734 0.0277987
35 9726 0.00557097
36 803 0.00703347
36 2876 0.00507122
36 3109 0.0137829
36 4989 0.0161834
36 5344 0.0151694
36 8134 0.0208584
37 1716 0.00584993
37 8479 0.0140172
37 8705 0.010736
37 9144 0.00873037
37 9952 0.00400722
38 3152 0.0169851
38 4253 0.00592015
38 4763 0.00506015
38 5643 0.0151717
38 5995 0.0185836
39 405 0.0201248
39 678 0.015323
39 2085 0.00687707
39 3183 0.0148102
39 3289 0.0138834
39 5289 0.00493692
39 5568 0.015323
40 3768 0.00325184
40 5929 0.00757228
40 6167 0.00518848
40 9168 0.0101329
41 2182 0.00495728
41 2378 0.0146066
41 2734 0.00625195
41 2881 0.00554731
41 5684 0.00826694
41 8112 0.00178538
42 3579 0.010501
42 5454 0.010064
42 5734 0.0143882
42 6788 0.00338038
42 7232 0.0151043
42 8889 0.017988
43 4859 0.00684927
43 5265 0.00623323
43 5331 0.0325265
43 5797 0.0456439
43 7694 0.00465618
44 875 0.00724393
44 1908 0.00520381
44 6708 0.00430745
44 8956 0.00809811
45 1553 0.0123481
45 4738 0.0013157
45 5302 0.00398986
45 5962 0.00962987
45 8590 0.00712905
46 848 0.0184489
46 3694 0.0162234
46 3865 0.00310018
46 4552 0.0136464
46 7522 0.0182999
47 812 0.0114091
47 1310 0.00304577
47 3970 0.00642882
47 6931 0.0038385
47 8366 0.0059041
47 9422 0.00611953
48 1074 0.0101307
48 5427 0.0243291
48 6954 0.0209906
48 7255 0.0174405
48 9214 0.0247018
48 9551 0.00369004
49 347 0.00802083
49 1998 0.0235536
49 4188 0.0114642
49 7318 0.015805
49 9369 0.0104625
49 9778 0.00555586
50 548 0.015299
50 1199 0.0133599
50 3230 0.0182758
50 4298 0.0168042
50 5143 0.00793348
50 8236 0.00852868
50 9677 0.0182564
50 9913 0.0141004
51 2868 0.00594159
51 8160 0.00549808
51 8428 0.0156815
51 8731 0.00690797
52 114 0.00753489
52 2998 0.00190245
52 8226 0.00803239
52 9042 0.00388997
53 608 0.00873483
53 2025 0.00773256
53 2108 0.00899041
53 7388 0.00462655
53 8344 0.013408
53 8536 0.00827838
53 9298 0.00320598
54 127 0.0147082
54 601 0.0122772
54 1093 0.0118892
54 4269 0.0243696
54 6472 0.0154383
55 781 0.011815
55 1632 0.0102034
55 2428 0.0197944
55 4998 0.0219676
55 5637 0.022643
55 8701 0.0140207
55 9663 0.0203082
56 264 0.0252926
56 479 0.0191347
56 1105 0.0163738
56 3298 0.0232869
56 4135 0.021999
56 4549 0.0121414
56 6132 0.0153769
56 6323 0.0131841
56 8260 0.0183072
56 8635 0.0211155
56 9171 0.0199012
56 9382 0.0165365
57 435 0.016128
57 6416 0.0174708
57 6783 0.00703512
57 8210 0.00552185
57 8907 0.00606175
58 4912 0.0033082
58 5892 0.00260202
58 7056 0.00588086
58 8246 0.0118305
58 9531 0.00433401
59 102 0.0124298
59 2811 0.0038652
59 4126 0.00930709
59 8669 0.0130295
59 9049 0.0148159
60 1200 0.00688874
60 2426 0.00729869
60 3761 0.0128592
60 6469 0.0127893
60 8043 0.0260171
60 8083 0.0143254
61 3577 0.0114818
61 3646 0.0132417
61 5063 0.0183881
61 7536 0.0111665
61 8384 0.00738322
61 8712 0.0115196
62 523 0.00884347
62 537 0.00907883
62 1301 0.0137675
62 3149 0.00618892
62 4879 0.0143694
62 4905 0.0148823
62 7040 0.0126218
62 9450 0.0125384
63 811 0.0100671
63 846 0.00917915
63 1913 0.0210219
63 2416 0.0205265
63 5387 0.015561
63 7975 0.012811
63 8273 0.0111476
64 554 0.0055201
64 667 0.00614147
64 7506 0.00330019
64 9774 0.0048241
65 450 0.00302513
65 692 0.0153013
65 2591 0.0143475
65 3315 0.0135031
65 3580 0.0109973
65 4835 0.0111161
65 6514 0.00468099
65 7943 0.0182
65 8694 0.0135885
66 3641 0.0107321
66 4414 0.0113759
66 4702 0.00437261
66 8113 0.0106173
67 519 0.00602988
67 1882 0.00458649
67 7807 0.00423661
67 7987 0.00559107
67 8759 0.00691108
68 1056 0.018078
68 2315 0.00511202
68 2739 0.0109119
68 2828 0.0135215
68 9631 0.0169887
68 9754 0.0100082
69 534 0.00963405
69 2104 0.0167627
69 3366 0.00734577
69 3803 0.00205599
69 4003 0.0110338
69 5170 0.0136258
69 5758 0.0157382
70 218 0.0123881
70 1258 0.0156835
70 1811 0.0188295
70 1914 0.0139183
70 2685 0.0133108
70 4424 0.0137831
70 6748 0.0203104
70 7058 0.0154005
70 8798 0.0116748
71 266 0.00797744
71 7140 0.0115351
71 8190 0.0175574
71 8474 0.00324922
72 2655 0.0149901
72 5052 0.00173343
72 5208 0.011374
72 7617 0.00961324
72 9684 0.0111035
73 2261 0.0151464
73 4275 0.0121296
73 5682 0.007966
73 6373 0.0138514
73 7559 0.00896097
73 8159 0.0105076
74 3631 0.00427743
74 8898 0.0160455
74 9175 0.00675312
74 9670 0.00733082
75 379 0.0197094
75 980 0.0165383
75 1450 0.0163177
75 4282 0.0121232
75 4872 0.0138926
75 5030 0.0233329
75 8556 0.0101799
76 292 0.00414747
76 747 0.0187429
76 6243 0.0155591
76 7517 0.00536452
76 7745 0.0169717
77 1561 0.00393033
77 1637 0.00756201
77 2405 0.0147722
77 5188 0.0150904
77 5237 0.00625766
77 6522 0.0117107
77 8465 0.00798063
77 9836 0.0171291
78 3410 0.00744805
78 4953 0.0108717
78 5483 0.0167508
78 6195 0.00924157
78 6205 0.0055726
78 9131 0.00939536
78 9242 0.00637586
78 9933 0.0133004
79 669 0.00773042
79 2140 0.00619029
79 2879 0.00286126
79 3242 0.0107435
79 9654 0.0119404
80 181 0.0233951
80 1443 0.0070163
80 8919 0.0153388
80 9256 0.012354
81 282 0.0241049
81 421 0.00779206
81 2399 0.0200802
81 5694 0.00431168
81 5900 0.00670905
81 5914 0.00539764
81 9691 0.00657816
82 3397 0.0106137
82 3519 0.00901023
82 4113 0.00283629
82 5267 0.00412191
82 6118 0.0189678
82 6135 0.0176756
83 865 0.00609996
83 2381 0.00393936
83 7619 0.00570027
83 9700 0.00894928
84 233 0.0137369
84 2224 0.0158463
84 3399 0.0184972
84 5178 0.00721683
84 5677 0.0118152
84 7836 0.0142025
84 9313 0.00977111
85 311 0.00966597
85 1967 0.00872748
85 3687 0.0070079
85 7751 0.0073482
85 8088 0.00547518
85 8894 0.00948011
86 1705 0.0180044
86 4201 0.00641605
86 5308 0.0191086
86 6455 0.01632
86 6558 0.0102284
86 6595 0.00621371
86 9192 0.0112536
87 3448 0.0130135
87 3855 0.00813019
87 3976 0.0200599
87 6052 0.00560308
87 8382 0.0170469
87 9088 0.0187916
88 293 0.018165
88 4047 0.00839235
